period	cc	year	CG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12	cc13	cc14	cc15	cc16	cc17	cc18	cc19	cc20
5	34	1993	28.531116	62.290276	0	15.955577	18.864868	54.470577	7.7603483	76.134804	1.3333334	18.048422	57.157658	61.209278	10.576962	1145.7983	8	9	1	1	2.2	7.9414473	71.45591	0	15.955577	18.78475	60.1367	7.2025733	72.297997	1.4285715	14.93623	57.663349	69.030243	10.13413	989.01978	7.5999999	9	1	1	2	7.6124296	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	34	1998	23.876709	57.300529	0	15.955577	18.939184	47.83794	8.321559	79.759201	1.25	17.71715	57.124577	58.576881	11.384536	8.7240982	8	9	1	1	2.8	8.3927164	62.290276	0	15.955577	18.864868	54.470577	7.7603483	76.134804	1.3333334	18.048422	57.157658	61.209278	10.576962	1145.7983	8	9	1	1	2.2	7.9414473	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	34	2003	26.080004	100	0	15.955577	19.019281	43.014462	9.0853977	82.1772	2.2875817	27.008324	54.265957	72.895622	11.825706	9.6995401	8	9	1	1	2.2	8.1341782	57.300529	0	15.955577	18.939184	47.83794	8.321559	79.759201	1.25	17.71715	57.124577	58.576881	11.384536	8.7240982	8	9	1	1	2.8	8.3927164	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	34	2008	28.172859	94.399788	0	15.955577	19.062534	39.26189	9.9874439	83.734596	1.0526316	24.614389	51.958664	67.282822	12.77033	7.1529198	8	9	1	1	2	8.9898481	100	0	15.955577	19.019281	43.014462	9.0853977	82.1772	2.2875817	27.008324	54.265957	72.895622	11.825706	9.6995401	8	9	1	1	2.2	8.1341782	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	51	1978	24.87466	96.499435	.60000002	13.519167	16.213406	57.647247	9.281847	80.100197	2	44.659912	52.885593	48.51226	8.3972092	97.711723	-7	1	1	1	6.4000001	7.4098945	98.52832	1.2	13.519167	16.112045	67.47258	9.3999414	77.122398	.82276851	32.715309	52.799259	79.8181	7.9176102	303.5675	-1.8	3.4000001	1	1	5.5	7.1422496	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	51	1983	27.211678	92.829506	0	13.519167	16.283014	50.403168	9.2445889	82.071602	1.8181819	44.047009	52.139523	81.4888	8.4901543	19.110701	-6.4000001	1.6	1	1	6	7.6275043	96.499435	.60000002	13.519167	16.213406	57.647247	9.281847	80.100197	2	44.659912	52.885593	48.51226	8.3972092	97.711723	-7	1	1	1	6.4000001	7.4098945	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	51	1988	19.514772	95.462311	0	13.519167	16.36445	47.378899	9.4655542	83.012199	1.6666666	56.698441	52.523689	117.01622	8.6852694	21.316879	.60000002	6	1	1	4.5999999	7.6551046	92.829506	0	13.519167	16.283014	50.403168	9.2445889	82.071602	1.8181819	44.047009	52.139523	81.4888	8.4901543	19.110701	-6.4000001	1.6	1	1	6	7.6275043	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	51	1993	18.636505	93.921112	0	13.519167	16.439747	46.747044	10.078614	83.931602	1.5384616	54.418186	51.688087	48.274158	9.5733461	14.24602	8	9	1	1	2	8.2395601	95.462311	0	13.519167	16.36445	47.378899	9.4655542	83.012199	1.6666666	56.698441	52.523689	117.01622	8.6852694	21.316879	.60000002	6	1	1	4.5999999	7.6551046	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	51	1998	20.520634	91.503059	0	13.519167	16.523561	44.525269	10.900227	85.316399	1.4285715	55.735371	52.704826	22.986799	10.526471	4.3266821	8.1999998	9	1	1	2.2	8.5721731	93.921112	0	13.519167	16.439747	46.747044	10.078614	83.931602	1.5384616	54.418186	51.688087	48.274158	9.5733461	14.24602	8	9	1	1	2	8.2395601	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	51	2003	20.932817	95.100159	0	13.519167	16.588099	39.390438	11.711746	86.952202	1.3333334	67.291031	51.64732	12.3316	10.891338	5.7903061	9	9	1	1	1.4	8.585515	91.503059	0	13.519167	16.523561	44.525269	10.900227	85.316399	1.4285715	55.735371	52.704826	22.986799	10.526471	4.3266821	8.1999998	9	1	1	2.2	8.5721731	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
