period	cc	year	CG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc6	cc10	cc13	cc14	cc18	cc21	cc24	cc27	cc32	cc34	cc42	cc44	cc45	cc51	cc56	cc59	cc63	cc68	cc71	cc74	cc75	cc79	cc82	cc83	cc84	cc93	cc94	cc96	cc101	cc113	cc114	cc116	cc118	cc119	cc121	cc123	cc125	cc136	cc137	cc143	cc144	cc145	cc152	cc154	cc158	cc161	cc164	cc167	cc171	cc174	cc178	cc180	cc183	cc185	cc186	cc188	cc191	cc217	cc219	cc220	cc225	cc227	cc228	cc233	cc234	cc240	cc246	cc247	cc248	cc252	cc256	cc257	cc258	cc262	cc274	cc276
6	32	1998	35.408016	100	0	13.247639	14.345446	68.285843	5.0377026	51.5238	2.4264705	94.629074	55.508854	16.219641	7.1885824	11.892666	7.8000002	9	0	1	2	8.0639095	99.315414	0	13.247639	14.220085	79.058296	4.9555912	46.1618	2.7619047	91.922218	56.978889	19.813841	7.0989738	8.3001575	7	9	0	1	1.6	7.9317527	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	34	1988	31.941793	71.45591	0	15.955577	18.78475	60.1367	7.2025733	72.297997	1.4285715	14.93623	57.663349	69.030243	10.13413	989.01978	7.5999999	9	1	1	2	7.6124296	70.063515	0	15.955577	18.681858	63.569695	6.9673014	68.104401	3.2051282	18.603912	56.25238	42.221741	9.772543	159.3502	-1.2	3.4000001	0	1	3.4000001	7.3240199	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	34	1993	28.531116	62.290276	0	15.955577	18.864868	54.470577	7.7603483	76.134804	1.3333334	18.048422	57.157658	61.209278	10.576962	1145.7983	8	9	1	1	2.2	7.9414473	71.45591	0	15.955577	18.78475	60.1367	7.2025733	72.297997	1.4285715	14.93623	57.663349	69.030243	10.13413	989.01978	7.5999999	9	1	1	2	7.6124296	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	34	1998	23.876709	57.300529	0	15.955577	18.939184	47.83794	8.321559	79.759201	1.25	17.71715	57.124577	58.576881	11.384536	8.7240982	8	9	1	1	2.8	8.3927164	62.290276	0	15.955577	18.864868	54.470577	7.7603483	76.134804	1.3333334	18.048422	57.157658	61.209278	10.576962	1145.7983	8	9	1	1	2.2	7.9414473	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	42	1998	17.980362	100	4	10.153468	15.646358	91.649895	5.8302016	7.8319998	1.5679256	16.558777	39.223038	143.78259	3.9751821	22.4401	-2.5999999	4.4000001	.80000001	0	6.5999999	5.248076	100	2.4000001	10.153468	15.590176	88.205566	5.9273367	6.835	2.0590825	23.796877	35.457264	105.13392	3.8941386	7.9957399	-2	1	.60000002	.60000002	6.4000001	5.5235023	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	44	1988	16.608713	100	0	13.066237	16.248211	88.497032	6.9938054	38.286999	3.8181818	40.552845	47.806751	34.2369	7.1702914	-.31503099	-8	1	1	1	6	6.8537693	100	0	13.066237	16.11668	87.646324	7.0433764	34.507599	2.3660734	46.589783	48.822975	27.208679	6.8063464	11.756918	-7.8000002	1	1	1	6	6.7498116	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	44	1998	13.672748	100	0	13.066237	16.522671	82.027176	6.6331134	44.354401	2.7619047	40.455803	45.073887	95.721321	7.1473613	2.976198	-4	6	1	1	7	6.4587426	100	0	13.066237	16.410103	86.729904	6.8399706	41.406601	3.2051282	38.70483	46.536465	77.357162	7.1153316	8.4514303	-4.8000002	5	1	1	6.1999998	6.6334224	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	45	2003	18.417442	45.068367	0	16.023785	17.268547	26.430641	18.661287	79.864403	.64516127	75.391846	43.236797	76.796761	12.963113	2.53476	10	10	0	1	1	10.228035	46.49593	0	16.023785	17.223267	28.929882	18.151485	78.756798	1.3563218	79.752922	42.211491	93.3395	12.52867	1.764714	10	10	0	1	1	9.9790487	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	45	2008	17.72159	44.560879	0	16.023785	17.323959	24.231792	19.619421	80.381203	1.2310606	65.272972	42.766453	75.028458	13.616703	2.0685439	10	10	0	1	1	10.659899	45.068367	0	16.023785	17.268547	26.430641	18.661287	79.864403	.64516127	75.391846	43.236797	76.796761	12.963113	2.53476	10	10	0	1	1	10.228035	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	51	1988	19.514772	95.462311	0	13.519167	16.36445	47.378899	9.4655542	83.012199	1.6666666	56.698441	52.523689	117.01622	8.6852694	21.316879	.60000002	6	1	1	4.5999999	7.6551046	92.829506	0	13.519167	16.283014	50.403168	9.2445889	82.071602	1.8181819	44.047009	52.139523	81.4888	8.4901543	19.110701	-6.4000001	1.6	1	1	6	7.6275043	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	51	1993	18.636505	93.921112	0	13.519167	16.439747	46.747044	10.078614	83.931602	1.5384616	54.418186	51.688087	48.274158	9.5733461	14.24602	8	9	1	1	2	8.2395601	95.462311	0	13.519167	16.36445	47.378899	9.4655542	83.012199	1.6666666	56.698441	52.523689	117.01622	8.6852694	21.316879	.60000002	6	1	1	4.5999999	7.6551046	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	51	1998	20.520634	91.503059	0	13.519167	16.523561	44.525269	10.900227	85.316399	1.4285715	55.735371	52.704826	22.986799	10.526471	4.3266821	8.1999998	9	1	1	2.2	8.5721731	93.921112	0	13.519167	16.439747	46.747044	10.078614	83.931602	1.5384616	54.418186	51.688087	48.274158	9.5733461	14.24602	8	9	1	1	2	8.2395601	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	51	2003	20.932817	95.100159	0	13.519167	16.588099	39.390438	11.711746	86.952202	1.3333334	67.291031	51.64732	12.3316	10.891338	5.7903061	9	9	1	1	1.4	8.585515	91.503059	0	13.519167	16.523561	44.525269	10.900227	85.316399	1.4285715	55.735371	52.704826	22.986799	10.526471	4.3266821	8.1999998	9	1	1	2.2	8.5721731	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	51	2008	21.28631	93.049133	0	13.519167	16.636599	34.01128	12.886475	88.414398	1.25	73.646446	50.484085	5.9930639	11.610178	6.159615	10	10	1	1	1	9.2695761	95.100159	0	13.519167	16.588099	39.390438	11.711746	86.952202	1.3333334	67.291031	51.64732	12.3316	10.891338	5.7903061	9	9	1	1	1.4	8.585515	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	56	1988	8.2339392	94.385124	0	13.910821	17.280855	63.260796	7.1657953	67.195198	1.9368279	25.17123	46.813065	35.350281	8.2876501	26.21356	8	9	1	0	2.4000001	7.4290061	71.080582	0	13.910821	17.168276	68.739525	7.0343781	64.192802	2.1446817	20.604313	56.087128	21.19388	7.5822334	23.00404	8	9	1	0	2	7.5182137	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
